destination	md5
kickstart/v2-04-r37-175/a500plus/good/kickstart-v2-04-r37-175-1991-05-commodore-a500plus-good.rom	dc10d7bdd1b6f450773dfb558477c230
kickstart/v2-04-r37-175/a500plus/overdump-b-ftp-transfer/kickstart-v2-04-r37-175-1991-05-commodore-a500plus-o-b-ftp-transfer.rom	40a66c58ad8259358cc34b4e118dfc84
kickstart/v2-05-r37-210/common/developer-kickit/kickstart-v2-05-r37-210-1991-11-commodore-developer-kickit.rom	32b7cd46a43735a2e11b981e97f910a3
kickstart/v2-05-r37-210/common/developer/kickstart-v2-05-r37-210-1991-11-commodore-developer.rom	8d72368dc1208e3687b35d662f2ea633
kickstart/v2-05-r37-210/common/hack-developer-kickit/kickstart-v2-05-r37-210-1991-11-commodore-h-developer-kickit.rom	d18bd9e3874ca62a99eb0df3eebe4f1d
kickstart/v2-05-r37-210/common/hack-developer/kickstart-v2-05-r37-210-1991-11-commodore-h-developer.rom	0c80392e93667f308c043c841291f64c
kickstart/v2-05-r37-299/a600/good/kickstart-v2-05-r37-299-1991-11-commodore-a600-good.rom	72ffce8541f100885da4b68a3bcf10f7
kickstart/v2-05-r37-300/a600hd/good/kickstart-v2-05-r37-300-1991-11-commodore-a600hd-good.rom	fa4acc75b49e880679fe02716af24d71
kickstart/v2-05-r37-350/a600hd/good/kickstart-v2-05-r37-350-1992-04-commodore-a600hd-good.rom	465646c9b6729f77eea5314d1f057951
kickstart/v3-0-r39-065/a3000/beta/kickstart-v3-0-r39-065-1992-04-commodore-a3000-beta.rom	675223438c7a50518e0024191252b85c
kickstart/v3-0-r39-092/a600/beta-good/kickstart-v3-0-r39-092-1992-07-commodore-a600-beta-good.rom	fa56c66ddd43c8a6f1ab930fb8bf3142
kickstart/v3-0-r39-106/a1200/good/kickstart-v3-0-r39-106-1992-09-commodore-a1200-good.rom	b7cc148386aa631136f510cd29e42fc3
kickstart/v3-0-r39-106/a4000/encrypted-needs-rom-key/kickstart-v3-0-r39-106-1992-09-commodore-a4000-encrypted-needs-rom-key.rom	cc9fd29b8d3bf2dcab2c1d05fcf7d204
kickstart/v3-0-r39-106/a4000/good/kickstart-v3-0-r39-106-1992-09-commodore-a4000-good.rom	9b8bdd5a3fd32c2a5a6f5b1aefc799a5
kickstart/v3-0-r39-115/common/standard/kickstart-v3-0-r39-115-1992-commodore.rom	cfb4d4c846a8c11c131f88de97134853
kickstart/v3-1-r40-003/a600/beta/kickstart-v3-1-r40-003-1993-commodore-a600-beta.rom	83459bf67c45d4d8af176152d81d843d
kickstart/v3-1-r40-038/a3000/beta-with-bonus/kickstart-v3-1-r40-038-1993-04-commodore-a3000-beta-with-bonus.rom	7213fe8403e863284a3ce75ff96c6733
kickstart/v3-1-r40-038/a4000/beta/kickstart-v3-1-r40-038-1993-04-commodore-a4000-beta.rom	8ab0ae4fb80bbc07394a3141d7f2a770
kickstart/v3-1-r40-055/a3000/beta-hack-shapeshifter-with-bonus/kickstart-v3-1-r40-055-1993-05-commodore-a3000-beta-h-shapeshifter-with-bonus.rom	dd4e0a3584064e9d85c773dd5ece2cd7
kickstart/v3-1-r40-055/a3000/beta-hack-shapeshifter/kickstart-v3-1-r40-055-1993-05-commodore-a3000-beta-h-shapeshifter.rom	8b1afcdd8241493c3d9471f2d4a148ce
kickstart/v3-1-r40-055/a3000/beta/kickstart-v3-1-r40-055-1993-05-commodore-a3000-beta.rom	d4db7595c36beedacf2f6a2ef05b0fcc
kickstart/v3-1-r40-055/a4000/beta-hack/kickstart-v3-1-r40-055-1993-05-commodore-a4000-beta-h.rom	e7488529fea4e329d383262442a80e7b
kickstart/v3-1-r40-060/cd32/good/kickstart-v3-1-r40-060-1993-05-commodore-cd32-good.rom	5f8924d013dd57a89cf349f4cdedc6b1
kickstart/v3-1-r40-062/a3000/beta-hack-with-bonus/kickstart-v3-1-r40-062-1993-07-commodore-a3000-beta-h-with-bonus.rom	778812df4626e25cccdf7c2f63cb30fa
kickstart/v3-1-r40-062/a3000/beta-hack/kickstart-v3-1-r40-062-1993-07-commodore-a3000-beta-h.rom	d09acd6607769bba27241d0d92d72fac
kickstart/v3-1-r40-062/a600/hack/kickstart-v3-1-r40-062-1993-commodore-a600-h.rom	4c58e4d79f3f29c963e6ca7560e53319
kickstart/v3-1-r40-063/a500-a600-a2000/bad-dump-2/kickstart-v3-1-r40-063-1993-07-commodore-a500-a600-a2000-b2.rom	f25496832bf78859d60f700039de3033
