commit	score	status	description
314376a	1.000000	discard	discard run 2026-03-13T03-53-58-352Z-62 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-54-14-471Z-63 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-54-30-872Z-64 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-54-47-669Z-65 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-55-03-901Z-66 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-55-19-883Z-67 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-55-36-180Z-68 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-55-52-500Z-69 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-56-08-697Z-70 mode=playfield_marker source=amiga_workspace/benchmarks/audio_tone/reference/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T03-56-24-898Z-71 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
