source_rel	curated_rel	reason	has_entry	assemble_rc
amiga_workspace/corpus/raw/amiga_examples/009.anim_blit/utils.s	amiga_workspace/corpus/curated/amiga_examples/009.anim_blit/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/010.blit_speed/blit.s	amiga_workspace/corpus/curated/amiga_examples/010.blit_speed/blit.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/010.blit_speed/blit_speed.s	amiga_workspace/corpus/curated/amiga_examples/010.blit_speed/blit_speed.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/010.blit_speed/constants.i	amiga_workspace/corpus/curated/amiga_examples/010.blit_speed/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/010.blit_speed/init.s	amiga_workspace/corpus/curated/amiga_examples/010.blit_speed/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/010.blit_speed/utils.s	amiga_workspace/corpus/curated/amiga_examples/010.blit_speed/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/011.ehb_mode/constants.i	amiga_workspace/corpus/curated/amiga_examples/011.ehb_mode/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/011.ehb_mode/ehb_mode.s	amiga_workspace/corpus/curated/amiga_examples/011.ehb_mode/ehb_mode.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/011.ehb_mode/init.s	amiga_workspace/corpus/curated/amiga_examples/011.ehb_mode/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/011.ehb_mode/utils.s	amiga_workspace/corpus/curated/amiga_examples/011.ehb_mode/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/012.ham_mode/constants.i	amiga_workspace/corpus/curated/amiga_examples/012.ham_mode/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/012.ham_mode/ham_mode.s	amiga_workspace/corpus/curated/amiga_examples/012.ham_mode/ham_mode.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/012.ham_mode/init.s	amiga_workspace/corpus/curated/amiga_examples/012.ham_mode/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/012.ham_mode/utils.s	amiga_workspace/corpus/curated/amiga_examples/012.ham_mode/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/013.dithered_ham/constants.i	amiga_workspace/corpus/curated/amiga_examples/013.dithered_ham/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/013.dithered_ham/dithered_ham.s	amiga_workspace/corpus/curated/amiga_examples/013.dithered_ham/dithered_ham.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/013.dithered_ham/init.s	amiga_workspace/corpus/curated/amiga_examples/013.dithered_ham/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/013.dithered_ham/utils.s	amiga_workspace/corpus/curated/amiga_examples/013.dithered_ham/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/014.lace_mode/constants.i	amiga_workspace/corpus/curated/amiga_examples/014.lace_mode/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/014.lace_mode/init.s	amiga_workspace/corpus/curated/amiga_examples/014.lace_mode/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/014.lace_mode/lace_mode.s	amiga_workspace/corpus/curated/amiga_examples/014.lace_mode/lace_mode.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/014.lace_mode/utils.s	amiga_workspace/corpus/curated/amiga_examples/014.lace_mode/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/015.sliced_ham/constants.i	amiga_workspace/corpus/curated/amiga_examples/015.sliced_ham/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/015.sliced_ham/init.s	amiga_workspace/corpus/curated/amiga_examples/015.sliced_ham/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/015.sliced_ham/sliced_ham.s	amiga_workspace/corpus/curated/amiga_examples/015.sliced_ham/sliced_ham.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/015.sliced_ham/utils.s	amiga_workspace/corpus/curated/amiga_examples/015.sliced_ham/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/016.copper_fun/copper_fun.s	amiga_workspace/corpus/curated/amiga_examples/016.copper_fun/copper_fun.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/016.copper_fun/utils.s	amiga_workspace/corpus/curated/amiga_examples/016.copper_fun/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/017.dual_playfield/constants.i	amiga_workspace/corpus/curated/amiga_examples/017.dual_playfield/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/017.dual_playfield/dual_playfield_mode.s	amiga_workspace/corpus/curated/amiga_examples/017.dual_playfield/dual_playfield_mode.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/017.dual_playfield/init.s	amiga_workspace/corpus/curated/amiga_examples/017.dual_playfield/init.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/017.dual_playfield/utils.s	amiga_workspace/corpus/curated/amiga_examples/017.dual_playfield/utils.s	no_entry_hint	0	
amiga_workspace/corpus/raw/amiga_examples/018.vert_scroll/constants.i	amiga_workspace/corpus/curated/amiga_examples/018.vert_scroll/constants.i	not_runnable_ext	0	
amiga_workspace/corpus/raw/amiga_examples/018.vert_scroll/init.s	amiga_workspace/corpus/curated/amiga_examples/018.vert_scroll/init.s	no_entry_hint	0	
